,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
26038,26038,Spain,"Raw, gamy aromas of herbal black fruits and wet dog fur set up a bumpy palate that's tough and jagged. Unabsorbed oak sits atop rudimentary berry fruit flavors, while the finish is choppy, oaky and herbal.",Finca Resalso,84,15.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Emilio Moro 2015 Finca Resalso  (Ribera del Duero),Tempranillo,Emilio Moro
115439,115439,US,"This wine is mild in acidity and simple in structure, a light-bodied take on the variety that shows flavors of green apple and green olive tapenade.",,87,24.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Rutherford Ranch 2015 Chardonnay (Napa Valley),Chardonnay,Rutherford Ranch
111361,111361,Austria,"This is described as Brut dry, but the perfumed character of the Gelber Muskateller grape gives this fruity wine a feeling of sweetness. It's soft, aromatic and lightly flavored with lychee.",Sparkling Mosi Brut,85,,Österreichischer Sekt,,,Roger Voss,@vossroger,Hermann Moser NV Sparkling Mosi Brut Gelber Muskateller (Österreichischer Sekt),Gelber Muskateller,Hermann Moser
109611,109611,France,"This big, ripe wine is opulent and smooth. With layers of rich lychee and mango fruit flavors, along with spiced pears, this is a delicious, ready-to-drink wine. It's generous to a fault, a great wine to drink with pâtés and spiced food.",Tradition,87,27.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Schoffit 2012 Tradition Pinot Gris (Alsace),Pinot Gris,Domaine Schoffit
33921,33921,US,"The wine has tempting aromas like marzipan and pineapple, generous fruit flavors and just enough acidity for balance. It's medium-bodied and feels bright and flavorful in the mouth.",,86,12.0,California,California,California Other,Jim Gordon,@gordone_cellars,Leese-Fitch 2014 Chardonnay (California),Chardonnay,Leese-Fitch
5184,5184,Italy,"Rich in wild cherry, raspberry, black cherry and white pepper, this delicious wine offers all the juicy fruit, freshness, minerality and supple tannins that make a young, well-made Morellino so attractive. Extremely enjoyable now, it will maintain beautifully until 2017–2018 and develop more depth.",,90,19.0,Tuscany,Morellino di Scansano,,Kerin O’Keefe,@kerinokeefe,Terenzi 2012  Morellino di Scansano,Sangiovese,Terenzi
125151,125151,France,"One of the many labels owned by the Grassa family of Domaine du Tariquet, this is so light and fresh that it just floats across the palate. It is citrus-crisp, with a tight apple skin texture. Great for apéritifs. Screwcap.",,86,10.0,Southwest France,Vin de Pays des Côtes de Gascogne,,Roger Voss,@vossroger,Domaine de Pouy 2008 White (Vin de Pays des Côtes de Gascogne),White Blend,Domaine de Pouy
73127,73127,Italy,"Underbrush, blackberry, blue flower and mocha lead the nose on this blend of Sangiovese, Cabernet Sauvignon and Syrah. The dense palate offers cassis, black cherry, black pepper, espresso and licorice alongside youthfully assertive tannins. Drink 2016–2021.",Riserva,90,33.0,Tuscany,Morellino di Scansano,,Kerin O’Keefe,@kerinokeefe,Morisfarms 2011 Riserva  (Morellino di Scansano),Red Blend,Morisfarms
114657,114657,Austria,"Clean, tight and crisp, this treads a straight, citrusy path seamed by a phenolic touch and the aroma of crisp, green pears.",Austrian Pepper,88,14.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,R&A; Pfaffl 2013 Austrian Pepper Grüner Veltliner (Niederösterreich),Grüner Veltliner,R&A; Pfaffl
118896,118896,US,"The mocha, toasted oak and sugared violet scents are lovely. There's a fairly good core of black fruit and creamy mocha on the palate as well, but green leaves and tomato peek through the midpalate, accompanied by some gripping grape tannins. The finish is marked by tart sour cherry and some floral notes.",Long-Bomb Edition Two,84,25.0,Virginia,Virginia,,Anna Lee C. Iijima,,Tarara 2008 Long-Bomb Edition Two Red (Virginia),Red Blend,Tarara
46156,46156,US,"Paix Sur Terre manages to translate the heat and sunshine of Paso Robles into a rich and savory but not overripe wine. Quite dark in the glass, it shows blackberry, black plum, roast beef, black pepper and soy notes on the nose. The palate is dense and creamy, with dark chocolate, roasted blackberry, vanilla and caramel flavors.",The Other One Glenrose Vineyard,94,52.0,California,Adelaida District,Central Coast,Matt Kettmann,@mattkettmann,Paix Sur Terre 2015 The Other One Glenrose Vineyard Mourvèdre (Adelaida District),Mourvèdre,Paix Sur Terre
